Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7qiZfU4dY1lWllzX7mPBI3,"6eUKZXaKkcviH0Ku9w2n3V","Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,87,spotify:user:,2021-01-28T14:51:29Z,"pop,uk pop",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
04sN26COy28wTXYj3dMoiZ,"6qqNVTkY8uBg9cP3Jd7DAH","Bored","Bored","Billie Eilish",2017-03-30,180933,87,spotify:user:,2021-09-20T09:42:02Z,"art pop,electropop,pop",0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,4
4aWmUDTfIPGksMNLV2rQP2,"4V8Sr092TqfHkfAA5fXXqG,4VMYDCV2IEDYJArk749S6m","Despacito (Featuring Daddy Yankee)","Despacito (Featuring Daddy Yankee)","Luis Fonsi,Daddy Yankee",2017-01-13,228200,1,spotify:user:,2021-01-28T14:51:29Z,"latin,latin pop,puerto rican pop,latin hip hop,reggaeton,trap latino",0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,4
1mXVgsBdtIVeCLJnSnmtdV,"2wY79sveU1sp5g7SokKOiI","Too Good At Goodbyes","The Thrill Of It All (Special Edition)","Sam Smith",2017-11-03,201000,82,spotify:user:,2021-01-28T14:51:29Z,"dance pop,pop,uk pop",0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873,4
5knuzwU65gJK7IF5yJsuaW,"6MDME20pz9RveH9rEXvrOM,3Isy6kedDrgPYoTS1dazA9,1zNqDE7qDGCsyzJwohVaoX","Rockabye (feat. Sean Paul & Anne-Marie)","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit,Sean Paul,Anne-Marie",2016-10-21,251088,78,spotify:user:,2021-01-28T14:51:29Z,"dance pop,edm,pop,pop dance,tropical house,uk dance,uk funky,dancehall,pop rap,post-teen pop,uk pop",0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,4
0ofbQMrRDsUaVKq2mGLEAb,"4nDoRrQiYLoBzwC5BhVJzF,50co4Is1HCEo8bhOyUWKpn","Havana (feat. Young Thug)","Havana (feat. Young Thug)","Camila Cabello,Young Thug",2017-08-03,216896,2,spotify:user:,2021-01-28T14:51:29Z,"dance pop,pop,post-teen pop,atl hip hop,atl trap,gangster rap,hip hop,melodic rap,rap,trap",0.768,0.517,7,-4.323,0,0.0312,0.186,0.000038,0.104,0.418,104.992,4
0tKcYR2II1VCQWT79i5NrW,"53XhwfbYqKCa1cC15pYq2q","Thunder","Evolve","Imagine Dragons",2017-06-23,187146,2,spotify:user:,2021-01-28T14:51:29Z,"modern rock,rock",0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,4
5o3GnrcFtvkdf3zFznuSbA,"04gDigrS5kc9YWfZHwBETP,2YZyLoL8N0Wb9xBt1NhZWg","Don't Wanna Know (feat. Kendrick Lamar)","Red Pill Blues (Deluxe)","Maroon 5,Kendrick Lamar",2018-06-15,214265,70,spotify:user:,2021-01-28T14:51:29Z,"pop,pop rock,conscious hip hop,hip hop,rap,west coast rap",0.783,0.61,7,-6.124,1,0.0696,0.343,0,0.0983,0.418,100.047,4
6RUKPb4LETWmmr3iAEQktW,"69GGBxA162lTqCwzJG5jLp,4gzpq5DPGxSnKTe4SA8HAU","Something Just Like This","Memories...Do Not Open","The Chainsmokers,Coldplay",2017-04-07,247160,85,spotify:user:,2021-01-28T14:51:29Z,"dance pop,edm,electropop,pop,pop dance,tropical house,permanent wave",0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,4
0tgVpDi06FyKpA1z0VMD4v,"6eUKZXaKkcviH0Ku9w2n3V","Perfect","÷ (Deluxe)","Ed Sheeran",2017-03-03,263400,88,spotify:user:,2021-01-28T14:51:29Z,"pop,uk pop",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
6Za3190Sbw39BBC77WSS1C,"1GDbiv3spRmZ1XdM1jQbT7,1i8SpTcr7yvPOmcqrbnVXY","Criminal","Criminal","Natti Natasha,Ozuna",2017-09-01,232549,76,spotify:user:,2021-01-28T14:51:29Z,"latin,latin pop,rap latina,reggaeton,trap latino,puerto rican pop",0.814,0.813,2,-3.023,0,0.0561,0.03,0.0000933,0.255,0.839,79.997,4
5Ohxk2dO5COHF1krpoPigN,"6KImCVD70vtIoJWnq6nGn3","Sign of the Times","Harry Styles","Harry Styles",2017-05-12,340706,83,spotify:user:,2021-01-28T14:51:29Z,"pop",0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,4
7hDc8b7IXETo14hHIHdnhd,"3TVXtAsR1Inumwj472S9r4","Passionfruit","More Life","Drake",2017-03-18,298940,0,spotify:user:,2021-01-28T14:51:29Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4
48QmG1dfvMuYLxMPt7KSRA,"3Isy6kedDrgPYoTS1dazA9,6M2wZ9GZgrQXHCFfjv46we","No Lie","Mad Love The Prequel","Sean Paul,Dua Lipa",2018-06-29,221176,87,spotify:user:,2021-01-28T14:51:29Z,"dance pop,dancehall,pop,pop rap,uk pop",0.742,0.882,7,-2.862,1,0.117,0.0466,0,0.206,0.463,102.04,4
5LYQSNHZxEA880URXFHg6h,"00FQb4jTyendYWaN8pK0wa,1Xyo4u8uXC1ZmMpatF05PJ","Lust for Life (with The Weeknd)","Lust for Life (with The Weeknd)","Lana Del Rey,The Weeknd",2017-04-19,264011,0,spotify:user:,2021-01-28T14:51:29Z,"art pop,pop,canadian contemporary r&b,canadian pop",0.499,0.676,0,-8.618,0,0.0582,0.588,0.00484,0.358,0.295,99.979,4
6gBFPUFcJLzWGx4lenP6h2,"0Y5tJX1MQlPlqiwlOH1tJY","goosebumps","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,243836,87,spotify:user:,2021-01-28T14:51:29Z,"rap,slap house",0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
6Kkt27YmFyIFrcX3QXFi2o,"163tK9Wjr9P9DmM0AVK7lm","Liability","Melodrama","Lorde",2017-06-16,171727,78,spotify:user:,2021-06-25T07:48:12Z,"art pop,electropop,metropopolis,nz pop,pop",0.587,0.229,10,-11.254,0,0.128,0.92,0,0.1,0.379,75.67,4
7m9OqQk4RVRkw9JJdeAw96,"15UsOTVnJzReFVN1VCnxy4","Jocelyn Flores","17","XXXTENTACION",2017-08-25,119133,87,spotify:user:,2021-01-28T14:51:29Z,"emo rap,miami hip hop",0.872,0.391,0,-9.144,0,0.242,0.469,0.00000413,0.297,0.437,134.021,4
