Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6DCZcSspjsKoFjzjrWoCdn,"3TVXtAsR1Inumwj472S9r4","God's Plan","Scorpion","Drake",2018-06-29,198973,84,spotify:user:,2018-12-04T05:02:00Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.754,0.449,7,-9.211,1,0.109,0.0332,0.0000829,0.552,0.357,77.169,4
3ee8Jmje8o58CHK66QrVC2,"15UsOTVnJzReFVN1VCnxy4","SAD!","?","XXXTENTACION",2018-03-16,166605,86,spotify:user:,2018-12-04T05:02:00Z,"emo rap,miami hip hop",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4
0e7ipj03S05BNilyu5bRzt,"246dkjvS1zLTtiykXe5h60,1URnnhqYAYcrqrcwql10ft","rockstar (feat. 21 Savage)","beerbongs & bentleys","Post Malone,21 Savage",2018-04-27,218146,86,spotify:user:,2018-12-04T05:02:00Z,"dfw rap,melodic rap,rap,atl hip hop,trap",0.585,0.52,5,-6.136,0,0.0712,0.124,0.0000701,0.131,0.129,159.801,4
3swc6WTsr7rl9DqQKQA55C,"246dkjvS1zLTtiykXe5h60,7c0XG5cIJTrrAgEC3ULPiq","Psycho (feat. Ty Dolla $ign)","beerbongs & bentleys","Post Malone,Ty Dolla $ign",2018-04-27,221440,80,spotify:user:,2018-12-04T05:02:00Z,"dfw rap,melodic rap,rap,hip hop,pop,pop rap,r&b,southern hip hop,trap,trap soul",0.75,0.56,8,-8.094,1,0.105,0.546,0,0.111,0.459,140.06,4
2G7V7zsVDxg1yRsu7Ew9RJ,"3TVXtAsR1Inumwj472S9r4","In My Feelings","Scorpion","Drake",2018-06-29,217925,78,spotify:user:,2018-12-04T05:02:00Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.835,0.626,1,-5.833,1,0.125,0.0589,0.00006,0.396,0.35,91.03,4
7dt6x5M1jzdTEt8oCbisTK,"246dkjvS1zLTtiykXe5h60","Better Now","beerbongs & bentleys","Post Malone",2018-04-27,231266,83,spotify:user:,2018-12-04T05:02:00Z,"dfw rap,melodic rap,rap",0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,4
58q2HKrzhC3ozto2nDdN4z,"4kYSro6naA4h99UJvo89HB,4q3ewBCX7sLwd24euuV69X,1vyhD5VmyZ7KMfW5gqLgo5","I Like It","Invasion of Privacy","Cardi B,Bad Bunny,J Balvin",2018-04-06,253390,81,spotify:user:,2018-12-04T05:02:00Z,"dance pop,pop,pop rap,rap,latin,reggaeton,trap latino,reggaeton colombiano",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,4
7ef4DlsgrMEH11cDZd32M6,"7CajNmpbOovFoOoasH2HaY,6M2wZ9GZgrQXHCFfjv46we","One Kiss (with Dua Lipa)","One Kiss (with Dua Lipa)","Calvin Harris,Dua Lipa",2018-04-06,214846,84,spotify:user:,2018-12-04T05:02:00Z,"dance pop,edm,electro house,house,pop,pop dance,pop rap,progressive house,uk dance,uk pop",0.791,0.862,9,-3.24,0,0.11,0.037,0.0000219,0.0814,0.592,123.994,4
76cy1WJvNGJTj78UqeA5zr,"6M2wZ9GZgrQXHCFfjv46we","IDGAF","Dua Lipa (Deluxe)","Dua Lipa",2017-06-02,217946,80,spotify:user:,2018-12-04T05:02:00Z,"dance pop,pop,uk pop",0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,4
08bNPGLD8AhKpnnERrAc6G,"64KEffDW9EtZ1y2vBYgq8T,1zNqDE7qDGCsyzJwohVaoX","FRIENDS","FRIENDS","Marshmello,Anne-Marie",2018-02-09,202620,81,spotify:user:,2018-12-04T05:02:00Z,"brostep,dance pop,edm,pop,pop dance,progressive electro house,post-teen pop,tropical house,uk pop",0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,4
