Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5aEqcblO0Z6JloFJXtxyhe,"0N0d3kjwdY2h7UVuTdJGfp","Everytime We Touch","Platinum","Cascada",2006,197124,65,spotify:user:11123283327,2021-12-26T20:28:18Z,"bubblegum dance,dance pop,eurodance,europop,german techno,melbourne bounce international,pop rap",0.633,0.976,8,-5.362,1,0.0519,0.00281,0.0000129,0.382,0.493,142.027,4
5yqiverYlKEA0ly96HPq01,"3jlq566oG3nXIG5HzPcc67","Flying Free - Original Mix","Pont Aeri, Vol. 4 EP","Pont Aeri",2013-02-11,406400,55,spotify:user:1170868377,2021-12-26T21:18:55Z,"makina",0.665,0.967,0,-7.776,1,0.0729,0.00518,0.273,0.218,0.389,157.979,4
0pMUR7Uvp6vxlbG0qBFvgM,"2tbvDi9eXf9XXp06LupkED","Better Off Alone","Who Needs Guitars Anyway?","Alice Deejay",2000,214883,75,spotify:user:1170868377,2021-12-26T21:23:04Z,"eurodance,europop",0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,4
78qd8dvwea0Gosb6Fe6j3k,"5cj0lLjcoR7YOSnhnX0Po5","Boss Bitch","Boss Bitch","Doja Cat",2020-01-23,134239,82,spotify:user:11123283327,2021-12-26T22:25:42Z,"dance pop,pop",0.707,0.955,10,-4.593,0,0.222,0.127,0,0.202,0.575,125.989,4
2yAVzRiEQooPEJ9SYx11L3,"64rxQRJsLgZwHHyWKB8fiF,5ENS85nZShljwNgg4wFD7D","Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio","Europop","Eiffel 65,Gabry Ponte",2011-01-05,283747,77,spotify:user:11123283327,2021-12-26T22:25:53Z,"bubblegum dance,eurodance,europop,italian adult pop,italo dance,slap house",0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,4
3q7eDGLKP0MlhqaGEJ3Lg0,"0N0d3kjwdY2h7UVuTdJGfp,4XFbi551hXFADmZ7HHCiyY","Everytime We Touch - Fallen Superhero Remix","Everytime We Touch (Fallen Superhero Remix)","Cascada,Fallen Superhero",2017-09-01,218587,54,spotify:user:11123283327,2021-12-26T22:25:58Z,"bubblegum dance,dance pop,eurodance,europop,german techno,melbourne bounce international,pop rap,singaporean electronic",0.61,0.971,6,0.006,0,0.169,0.0641,0.00000356,0.338,0.487,150.089,4
33rdAG6McvcxE2QQWCaghc,"2Ds96OS5MQTCx0KzNm6tIL","MORSKI HARDCORE","WIXAPOL, VOL. 2: SORY WIRUS","STEPINSKI",2021-01-30,162252,23,spotify:user:sattersnap11,2021-12-27T00:38:29Z,"",0.731,0.831,7,-5.924,1,0.0827,0.0396,0.602,0.269,0.635,90.033,4
6vcgMBMmbpQVj59wyLkvC7,"6urkHDoIVO1WO8vNIwcJmM","Banana Brain","Mount Ninji And Da Nice Time Kid","Die Antwoord",2016-09-16,288738,63,spotify:user:sattersnap11,2021-12-27T00:38:49Z,"african rock,south african alternative,south african hip hop",0.741,0.928,1,-5.663,1,0.0792,0.0106,0.0166,0.122,0.26,150.085,4
0I9RNRHB1KguBz1Cql1p5L,"73AXOp3t6ik1YiJjINRvMm","ТУРБО ПУШКА","ТУРБО ПУШКА (RAVE)","ДЕТИ RAVE",2018-07-12,96062,65,spotify:user:sattersnap11,2021-12-27T00:40:50Z,"russian rave",0.809,0.586,11,-11.057,1,0.133,0.133,0.13,0.107,0.265,159.974,4
56nLHj9HJr3xpbLarnr0l4,"11aa081aKYUzmeFm0yHdT2","Mtc","Mtc - Single","S3RL",2012-02-15,260530,61,spotify:user:sattersnap11,2021-12-27T01:01:57Z,"australian dance,freeform hardcore,happy hardcore",0.485,0.979,2,-0.943,1,0.116,0.00792,0.00171,0.387,0.432,175.074,4
0KSvlZS1RbO0vAzHuVJaY6,"2mCdt3LotGSy2i7uOjC6B9","How Do You Do","How Do You Do","Nightcore Fanatics",2020-01-13,213701,56,spotify:user:sattersnap11,2021-12-27T01:11:22Z,"nightcore",0.636,0.988,2,-3.316,1,0.093,0.249,0.0148,0.321,0.633,171.041,4
37s8uwIjw72XfMseKJXNOO,"10pMyCRhDkBpyuc38QOlKf","Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix]","Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix]","Getter Jaani",2018-12-14,155008,62,spotify:user:sattersnap11,2021-12-27T01:23:10Z,"estonian pop,eurovision",0.659,0.936,2,-3.519,1,0.0606,0.283,0.0207,0.192,0.884,161.983,4
3BRiYx7BO6QPdR8gCCwtMa,"79wYn0trIxj3ewBLhOBUzX","Al Doilea E. Abstraction","Al Doilea E. Abstraction","NSD",2017-04-07,317520,35,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T09:41:41Z,"uptempo hardcore",0.734,0.888,9,-4.366,0,0.0368,0.0056,0.000568,0.518,0.203,107.509,4
668YZNJ2DCp7S50tPYsHwr,"3GEDzLFDpKR3tsq72ZRTP7,0W92qU6ofYTHnnTw61k9nR","Hit U harder - Edit","Hit U harder","Andy the Core,Delta 9",2016-05-30,196610,26,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T09:42:03Z,"frenchcore,rawstyle,uptempo hardcore,speedcore",0.457,0.986,10,-1.872,0,0.0833,0.000209,0,0.0574,0.0684,100.04,4
2hnunZpK2p2X2u16yRCGza,"5b4R0928g89y6qmOgtEN1O","My Secret","My Secret","Hysta",2021-07-16,189322,33,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T09:43:29Z,"uptempo hardcore",0.529,0.988,10,-0.671,0,0.116,0.00491,0.0144,0.107,0.154,99.991,4
0IFOeCOe8MsujWzKf6jydH,"2aSXpRYCcgBPTVCMX3qyjA","Drop It","Happy Hardcore Top 100","3 Steps Ahead",2010,263758,40,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T09:51:28Z,"gabba,happy hardcore,hardcore techno,speedcore",0.498,0.878,11,-4.802,0,0.0537,0.024,0.682,0.345,0.0377,94.454,4
5mI9M02lPnTa8cdDtChqLn,"4haMCKZ3Nl5mCQ1PWKj5ts","Some Sound For A Party","Gabberbox - The Best of the Past, Present & Future 2","Headcrackers",2000-01-01,204626,9,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T09:58:42Z,"terrorcore",0.808,0.921,7,-9.84,1,0.147,0.000251,0.896,0.0979,0.191,169.981,4
7rCitBPeNGNmqoc7X7pW3j,"3xaT0giycjaFADjAnrezrd","Rock N' Rave - Extended Mix","Rock N' Rave - EP (Unmistakable Sampler 2)","Francesco Zeta",2012-03-12,225600,52,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T10:02:11Z,"classic hardstyle,rawstyle",0.661,0.999,0,-2.785,1,0.0889,0.418,0.152,0.356,0.333,150.026,4
5DmksdbpypZd709H95ES1c,"2FmgW6Jee0JQKtb6EnBWCq","Bitches","Bitches","DJ Isaac",2010-06-14,313941,47,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T10:05:38Z,"australian dance,classic hardstyle,euphoric hardstyle,gabba,happy hardcore,hardcore techno,rawstyle",0.644,0.97,9,-5.184,1,0.0743,0.00188,0.032,0.0796,0.777,74.987,4
3iTMGUVPXAxy2DwFN4rGdm,"6C0KWmCdqrLU2LzzWBPbOy","Her Voice - Headhunterz Remix Edit","Studio Sessions","Headhunterz",2018-08-08,274789,20,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T10:13:54Z,"classic hardstyle,euphoric hardstyle,melbourne bounce international,rawstyle",0.507,0.939,5,-6.788,0,0.0637,0.0135,0.848,0.0783,0.0884,150.006,4
3rEf6TAhrQohGQlnHV4HYa,"4RbUYWWjEBb4umwqakOEd3","Trip to Ireland","Frenchcore S´il vous plaît 004","Dr. Peacock",2015-07-02,243900,32,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T10:14:18Z,"frenchcore,tekk,uptempo hardcore",0.753,0.991,9,-1.599,1,0.107,0.198,0.761,0.115,0.448,99.999,4
11FV21g2A7j1eSq1lFUvit,"123hDJRbi4KtCdBaaKNHW6,5knzGcHKdeUG08DPucrngi,4BAEkqk22oqhSzZkU4UGQ9","Angels Deserve To Die","The Evolution of Hate","Paul Elstak,Beatstream,Radiate",2012-10-31,302106,40,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T10:16:18Z,"gabba,happy hardcore,hardcore techno,nederlandse hardstyle",0.505,0.953,7,-4.269,0,0.369,0.1,0.14,0.0265,0.163,170.022,4
4Dg1R82oQnORakCgph65XB,"4RbUYWWjEBb4umwqakOEd3,0caJEGgVuXuSHhhrMCmlkI","Muzika - Sefa Remix","Leven Is Lijden","Dr. Peacock,Sefa",2018-03-02,158400,0,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T10:21:17Z,"frenchcore,tekk,uptempo hardcore",0.447,0.993,5,-0.77,1,0.0431,0.000505,0.981,0.517,0.0389,100.005,4
6Sa983YKYRbpkwIELbR4to,"23ZF6wwvduGxWSH2j97Ish","Hardcoriste","Hardcoriste","LE BASK",2020-07-01,356510,43,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T10:24:17Z,"frenchcore,tekno",0.697,0.925,11,-2.847,1,0.053,0.00846,0.306,0.115,0.525,99.995,4
2HwkbfGpHbRZHIN0ZGhDGF,"43kgeL9rkPVCCIBdYHECWG,4RbUYWWjEBb4umwqakOEd3","Japanese Nightclub","Japanese Nightclub","Guigoo,Dr. Peacock",2019-11-15,220803,47,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T10:27:35Z,"raggatek,tekno,frenchcore,tekk,uptempo hardcore",0.63,0.991,1,-2.69,1,0.236,0.00205,0.509,0.144,0.04,100.001,4
6p469MShv1FYZNXZ5kMqNb,"5b4R0928g89y6qmOgtEN1O","Gabber Madness","Gabber Madness","Hysta",2021-01-29,205714,40,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T10:50:20Z,"uptempo hardcore",0.701,0.997,4,-0.13,0,0.161,0.0337,0.115,0.1,0.0827,104.998,4
3HpUvxTaBTLfFNCwPz6AgT,"1dWCpNKvuNDv2rE4gCVNwj,5WUnGF4pM7DerBF0GSivNv","Pussy Motherfuckerz - D-Fence Extended Remix","Pussy Motherfuckerz (D-Fence Extended Remix)","Endymion,D-Fence",2018-08-17,193050,24,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T10:56:33Z,"gabba,happy hardcore,hardcore techno,hardstyle,rawstyle,uptempo hardcore",0.688,0.997,8,-0.595,0,0.238,0.0746,0,0.0706,0.173,99.993,4
4ONdTqWfDk6MjtMPOfHxRZ,"6lEoMSUghYo3umwa8MmV5c,6kLbQrRfstOkAju82Vrhmb","Bella Ciao - Pat B 1996 Oldschool Remix","Bella Ciao (Pat B 1996 Oldschool Remix)","Joe Rascal,Pat B",2018-08-02,177333,41,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T11:02:35Z,"jumpstyle",0.458,0.999,4,-1.146,0,0.0732,0.00273,0.285,0.298,0.678,180.02,4
2kx7p4KdML3FJsZiJqxRml,"1RsU9zuGACUb1NGShiFpcP,0VVKoAQiqJrWiKBDcfhVoc","The MFing ThrashCore","The MFing ThrashCore","Deadly Guns,The Menace",2021-01-29,240000,33,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T11:11:18Z,"frenchcore,rawstyle,uptempo hardcore",0.584,0.956,1,-3.814,1,0.0488,0.00517,0.0079,0.198,0.256,95.016,4
02uaLJya6U259ljPjJDvS3,"5yirHkilaq4YSjO9BY6oy3,1RsU9zuGACUb1NGShiFpcP","Smells Like Teen Spirit","Smells Like Teen Spirit","N-Vitral,Deadly Guns",2020-08-04,211127,50,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T11:17:55Z,"doomcore,gabba,happy hardcore,hardcore techno,rawstyle,uptempo hardcore,frenchcore",0.617,0.975,1,-2.18,1,0.118,0.0396,0.00000354,0.27,0.137,99.88,4
4KAj9Lcfg8xicgj4oqa8AF,"7H96PqbTkVRtQTdBNtiljh,0HHZoGGxhwl5My16mWggVP","First Light","Redemption","D'ort,Undefiant",2021-01-29,216150,25,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T11:25:36Z,"frenchcore",0.507,0.96,6,-3.964,0,0.0781,0.0398,0.0000928,0.293,0.157,100.073,4
1UymZaSfQII4vUkz4U5btm,"7E6DrjKJieOdJKO8mbwCMO,0caJEGgVuXuSHhhrMCmlkI","Nothing Like The Oldschool","Nothing Like The Oldschool","D-Sturb,Sefa",2018-10-18,236030,58,spotify:user:sattersnap11,2021-12-27T12:35:02Z,"classic hardstyle,frenchcore,rawstyle,xtra raw,tekk,uptempo hardcore",0.395,0.984,8,-3.404,1,0.0911,0.0131,0.13,0.38,0.261,200.07,4
0ekBJ6ROms5datcjSEPm4K,"0oLGnvHNXJAeZmlcAiTlaQ","Vieze Asbak Ameno - Techno Rave Mix","Vieze Asbak Ameno (Techno/Rave Mix)","TygoReuvers",2021-03-16,148189,57,spotify:user:sattersnap11,2021-12-27T14:02:11Z,"",0.784,0.501,1,-14.229,1,0.188,0.55,0.601,0.249,0.102,150.034,4
0fxYFSQ3eEI86HrFOYp9rc,"4U5XuxqTPL5tcSJ5CDgHW5","Hardstyle Polka - Single Edit","Ukrainian Hardstylerz EP","Ukrainian Hardstylerz",2010-03-05,137309,36,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T14:51:38Z,"",0.541,0.861,1,-6.076,1,0.0407,0.0203,0.257,0.239,0.652,150.074,4
7eFHzgSCf2HLQHTYiBb9Io,"4RbUYWWjEBb4umwqakOEd3,123hDJRbi4KtCdBaaKNHW6","Hey Mambo","Acid Bomb","Dr. Peacock,Paul Elstak",2018-11-18,206400,49,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T16:48:17Z,"frenchcore,tekk,uptempo hardcore,gabba,happy hardcore,hardcore techno,nederlandse hardstyle",0.707,0.996,5,0.551,1,0.164,0.0267,0.0281,0.0787,0.192,100.062,4
2X0EGmTKTnPXyRFaNf1Kjs,"7oX7rzli18XsB2WFd88oW4","XTC - Radio Edit","Till I Die Vol.1","Dj Mad Dog",2017-07-04,168720,43,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T16:50:14Z,"gabba,happy hardcore,hardcore techno,uptempo hardcore",0.551,0.966,7,-2.559,1,0.141,0.00453,0.000685,0.102,0.0538,174.058,4
1Ar6FiOnKp8XSaU5g1d7cR,"0Ldjd0Z66CJ0rChWXx0jzB","Tree of Life - Psy to Hard","Tree of Life (Psy to Hard)","Billx",2018-08-27,313224,51,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T19:38:54Z,"frenchcore,raggatek,tekk,tekno",0.489,0.992,11,-1.642,1,0.205,0.0157,0.00485,0.229,0.0551,160.037,4
03VhhfLaU2XJ2vPdbmnyYj,"6qJ61DomA73g7jQEKESw9Z","Revolution Is Here","10 Years Noisecontrollers","Noisecontrollers",2015-12-12,218750,39,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T19:43:51Z,"classic hardstyle,euphoric hardstyle,rawstyle",0.514,0.961,6,-5.534,0,0.0439,0.0283,0.543,0.133,0.143,147.999,4
5iBFWyjahXT7cRld4WWjze,"123hDJRbi4KtCdBaaKNHW6,1OzwNHwvoCTrIzTkRJDLjL","ACAB vs Hardcore Hooligans - 2018 Refix","Offensive Remix Pack","Paul Elstak,2018 Refix",2018-12-21,260720,38,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-27T19:57:15Z,"gabba,happy hardcore,hardcore techno,nederlandse hardstyle",0.658,0.989,7,-3.282,1,0.111,0.0509,0.00182,0.637,0.31,97.499,4
7seOXBlflZC8UR8bNi27u2,"6UOk7DmvqlzWmo6gjhZvn6,4FDj6mh458K7m9Txwyj2rt","Moskau","Moskau","Da Tweekaz,Harris & Ford",2020-04-03,215383,59,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-28T16:42:52Z,"classic hardstyle,euphoric hardstyle,rawstyle,partyschlager",0.504,0.949,5,-3.303,0,0.0498,0.00221,0.00352,0.153,0.49,150.027,4
4puPYeOQBVoDEWNDPG9En1,"4RbUYWWjEBb4umwqakOEd3,6GhHpobLFwP7PwixWz6otN,0b2rM3fXiBkA4c1SpSkoqE","Eat This - Broken Minds Remix","Break Your Mind","Dr. Peacock,Death By Design,Broken Minds",2019-05-30,181333,32,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-29T14:01:16Z,"frenchcore,tekk,uptempo hardcore",0.521,0.983,0,-2.173,1,0.0658,0.00265,0.645,0.131,0.179,180.015,4
3g7FCjzl8DT4IAVnWM9Zsl,"7i7knDRybyk0pKGZs4TrA0","Insecure","Gold","The Whistlers",2019-01-29,265264,37,spotify:user:21pnc2epeoe54qwgaauvhjjva,2021-12-29T14:03:34Z,"",0.608,0.839,9,-2.392,1,0.118,0.0897,0.000135,0.0923,0.141,105.017,4
